,total_rate,580026,600111,600089,600584,600175
09:15:00,4817,33,17,13,10,12
09:15:01,6593,29,29,39,18,15
09:15:02,89079,498,518,410,372,372
09:15:03,62833,245,454,291,249,349
09:15:04,44840,249,332,266,160,222
09:15:05,28160,210,202,137,169,147
09:15:06,19957,134,170,110,106,95
09:15:07,14241,88,141,58,61,110
09:15:08,10319,70,90,52,52,35
09:15:09,7102,20,61,49,25,46
09:15:10,3975,15,38,15,23,14
09:15:11,2234,11,24,13,10,12
09:15:12,2504,17,39,10,13,17
09:15:13,979,5,9,4,6,4
09:15:14,728,6,4,3,0,4
09:15:15,361,0,4,1,3,1
09:15:16,346,0,3,2,1,2
09:15:17,192,1,3,6,0,2
09:15:18,250,0,1,2,0,2
09:15:19,216,0,3,3,0,5
09:15:20,124,0,2,0,1,0
09:15:21,220,2,4,1,1,0
09:15:22,165,2,1,0,1,0
09:15:23,154,1,2,1,1,0
09:15:24,78,2,1,0,0,0
09:15:25,81,1,1,1,0,1
09:15:26,79,1,0,0,1,0
09:15:27,98,2,2,0,0,1
09:15:28,117,0,2,0,0,0
09:15:29,78,0,1,0,0,0
09:15:30,81,0,2,0,0,0
09:15:31,87,1,1,0,1,0
09:15:32,84,2,0,1,1,0
09:15:33,95,2,3,0,0,0
09:15:34,99,1,0,0,0,0
09:15:35,78,1,2,0,0,0
09:15:36,80,0,1,0,1,1
09:15:37,96,0,1,0,0,0
09:15:38,187,0,0,0,0,0
09:15:39,163,0,1,0,0,1
09:15:40,99,3,1,0,0,0
09:15:41,134,1,3,0,0,0
09:15:42,161,1,2,0,0,0
09:15:43,138,0,1,2,0,0
09:15:44,122,0,0,1,0,1
09:15:45,100,1,0,2,1,0
09:15:46,120,1,2,1,0,1
09:15:47,99,1,2,0,0,1
09:15:48,103,1,1,0,0,2
09:15:49,98,1,0,0,1,0
09:15:50,109,1,2,0,1,0
09:15:51,121,1,0,1,1,0
09:15:52,102,2,2,0,0,2
09:15:53,98,0,1,0,0,1
09:15:54,112,0,2,0,0,0
09:15:55,102,0,0,0,1,1
09:15:56,114,0,0,1,0,0
09:15:57,133,1,3,0,2,2
09:15:58,116,0,0,0,0,1
09:15:59,121,0,0,1,0,0
09:16:00,109,1,2,2,1,0
09:16:01,117,1,1,1,0,1
09:16:02,118,0,3,0,1,1
09:16:03,128,2,1,3,0,1
09:16:04,112,3,1,0,0,0
09:16:05,118,3,1,0,0,1
09:16:06,99,3,1,1,0,1
09:16:07,114,1,2,0,1,0
09:16:08,116,0,1,0,0,2
09:16:09,134,0,2,0,0,0
09:16:10,114,1,0,0,0,2
09:16:11,110,0,1,1,0,1
09:16:12,138,0,4,0,0,2
09:16:13,112,0,0,1,0,0
09:16:14,99,1,1,0,1,1
09:16:15,139,2,1,0,0,0
09:16:16,114,0,1,0,0,0
09:16:17,112,3,0,0,2,0
09:16:18,139,0,3,1,1,0
09:16:19,106,0,0,0,0,1
09:16:20,126,0,2,0,0,0
09:16:21,119,1,0,0,2,1
09:16:22,147,1,1,1,2,1
09:16:23,118,2,2,0,0,1
09:16:24,117,0,0,3,0,1
09:16:25,116,1,0,0,1,1
09:16:26,152,0,2,1,2,1
09:16:27,132,4,0,0,1,1
09:16:28,135,2,3,0,0,0
09:16:29,133,7,3,0,0,0
09:16:30,120,1,0,1,1,1
09:16:31,133,0,1,0,0,5
09:16:32,126,2,4,1,1,0
09:16:33,134,0,2,0,0,1
09:16:34,103,1,1,1,0,1
09:16:35,125,2,0,2,0,1
09:16:36,116,1,0,1,2,0
09:16:37,131,0,0,0,1,0
09:16:38,144,1,5,0,0,2
09:16:39,136,1,1,1,0,1
09:16:40,135,0,3,1,0,0
09:16:41,131,1,3,1,1,1
09:16:42,134,2,0,1,0,0
09:16:43,160,6,2,1,1,2
09:16:44,145,0,5,2,0,2
09:16:45,114,2,1,1,0,1
09:16:46,120,2,2,0,0,0
09:16:47,138,1,2,0,0,1
09:16:48,153,3,3,1,0,2
09:16:49,147,3,1,0,0,0
09:16:50,151,1,2,1,0,0
09:16:51,143,0,3,2,2,1
09:16:52,139,0,1,1,0,1
09:16:53,162,3,1,3,0,3
09:16:54,121,1,2,0,1,0
09:16:55,132,2,6,0,0,0
09:16:56,150,0,2,2,0,0
09:16:57,146,0,2,0,1,1
09:16:58,138,3,1,0,0,4
09:16:59,150,0,1,0,1,0
09:17:00,183,2,2,1,1,1
09:17:01,151,1,1,1,0,1
09:17:02,149,2,0,0,0,2
09:17:03,161,1,1,3,0,0
09:17:04,127,1,2,1,1,2
09:17:05,129,0,2,2,0,1
09:17:06,166,2,1,1,0,0
09:17:07,160,0,2,3,0,0
09:17:08,159,3,1,1,0,0
09:17:09,175,1,3,1,3,1
09:17:10,149,0,1,0,1,0
09:17:11,145,4,1,0,0,0
09:17:12,135,0,2,1,1,1
09:17:13,144,2,3,0,0,1
09:17:14,169,2,2,2,1,2
09:17:15,156,0,0,1,0,1
09:17:16,163,1,2,2,0,2
09:17:17,185,0,3,1,0,1
09:17:18,163,5,2,0,0,1
09:17:19,147,3,1,0,1,3
09:17:20,147,6,1,0,0,0
09:17:21,156,1,1,0,0,0
09:17:22,172,6,4,0,1,1
09:17:23,141,2,5,1,1,1
09:17:24,169,0,0,1,1,1
09:17:25,171,0,1,1,0,1
09:17:26,177,1,4,0,1,2
09:17:27,163,0,1,0,0,0
09:17:28,164,2,1,1,1,2
09:17:29,183,2,0,3,0,0
09:17:30,166,1,1,1,2,1
09:17:31,135,1,3,1,1,4
09:17:32,153,1,1,0,0,2
09:17:33,170,4,5,0,0,0
09:17:34,169,3,2,0,1,2
09:17:35,145,1,1,3,0,1
09:17:36,183,4,1,1,1,2
09:17:37,165,4,1,0,0,1
09:17:38,174,2,0,0,1,0
09:17:39,162,1,2,1,0,1
09:17:40,159,2,1,0,0,0
09:17:41,141,0,3,0,0,0
09:17:42,162,2,2,2,0,0
09:17:43,144,0,0,0,2,3
09:17:44,171,1,3,0,1,0
09:17:45,183,2,2,0,0,2
09:17:46,163,2,2,1,0,0
09:17:47,154,2,2,0,0,0
09:17:48,172,1,1,0,0,1
09:17:49,179,0,0,0,2,0
09:17:50,187,3,3,0,2,3
